employee_id,name,gender,age,department,education,monthly_salary,satisfaction_score,attrited,join_date,exit_date,tenure_months
E0001,Naveen Raj,Female,,Hr,Bachelors,,1.0,No,2018-07-17,,85.7
E0002,Karthik Iyer,Male,,Hr,MASTERS,,1.0,Yes,2018-08-31,2020-02-29,18.0
E0003,Suresh Sharma,Female,33.0,Hr,PhD,,5.0,Yes,2019-08-14,2021-08-04,23.7
E0004,Meera Iyer,Male,,Sales,bachelors,,,No,2024-04-30,,16.3
E0005,Kavya Raj,Male,,Sales,Bachelors,,3.0,No,2020-09-26,,59.4
E0006,Deepa Raj,Male,,Marketing,bachelors,112584.0,3.0,No,2019-09-15,,71.8
E0007,Manoj Kumar,Female,,Sales,PhD,33519.0,3.0,No,2021-01-10,,55.9
E0008,Manoj Sharma,Female,,Sales,Bachelors,62674.0,4.0,Yes,2019-04-25,2023-11-13,54.6
E0009,Anitha Nair,Female,,Hr,Masters,,3.0,No,2024-02-29,,18.3
E0010,Karthik Raj,Female,,Sales,MASTERS,,3.0,No,2020-08-08,,61.0
E0011,Naveen Raj,Female,,Operations,,,4.0,No,2018-08-10,,85.0
E0012,Divya Raj,Male,28.0,Sales,PhD,103738.0,5.0,Yes,2020-05-05,2022-06-30,25.8
E0013,Arjun Kumar,Female,,Engineering,bachelors,,1.0,No,2022-03-22,,41.6
E0014,Latha Sharma,Male,32.0,Sales,PhD,,2.0,No,2019-08-14,,72.8
E0015,Arjun Pillai,Female,,Operations,MASTERS,,2.0,No,2021-05-05,,52.1
E0016,Naveen Reddy,Male,,Engineering,PhD,54719.0,3.0,No,2020-03-10,,66.0
E0017,Vijay Raj,Female,45.0,Operations,Masters,,2.0,No,2021-11-11,,45.9
E0018,Ramesh Nair,Female,27.0,Operations,bachelors,,4.0,No,2018-01-08,,92.0
E0019,Deepa Pillai,Male,,Marketing,Masters,,2.0,No,2018-12-22,,80.6
E0020,Manoj Pillai,Female,,Sales,,,1.0,No,2023-04-27,,28.4
E0021,Suresh Nair,Female,,Engineering,Bachelors,,3.0,No,2020-05-14,,63.8
E0022,Sneha Nair,Female,,Operations,Masters,90752.0,5.0,No,2023-10-18,,22.7
E0023,Arjun Pillai,Male,,Sales,bachelors,,,No,2019-12-07,,69.1
E0024,Divya Raj,Male,57.0,Engineering,bachelors,,,No,2021-02-08,,55.0
E0025,Ramesh Reddy,Female,,Engineering,bachelors,,5.0,No,2023-01-27,,31.4
E0026,Deepa Kumar,Female,,Hr,,81143.0,,Yes,2022-12-16,2024-07-20,19.1
E0027,Sneha Raj,Male,,Engineering,bachelors,,2.0,Yes,2019-07-17,2020-04-24,9.3
E0028,Naveen Nair,Female,,Engineering,PhD,,4.0,Yes,2021-12-31,2024-04-18,27.6
E0029,Kavya Iyer,Female,,Sales,PhD,38733.0,1.0,No,2019-04-08,,77.0
E0030,Deepa Pillai,Female,,Engineering,Masters,,1.0,No,2022-07-21,,37.6
E0031,Karthik Sharma,Male,,Sales,bachelors,,1.0,Yes,2018-12-29,2020-06-26,17.9
E0032,Vijay Iyer,Male,38.0,Sales,,39346.0,2.0,No,2018-06-26,,86.4
E0033,Ramesh Sharma,Male,24.0,Finance,Masters,,1.0,Yes,2023-08-11,,24.9
E0034,Latha Raj,Female,,Finance,Masters,,5.0,No,2019-03-12,,77.9
E0035,Ramesh Pillai,Male,,Sales,,42015.0,4.0,No,2022-07-16,,37.8
E0036,Kavya Iyer,Male,50.0,Engineering,MASTERS,,3.0,No,2021-04-15,,52.8
E0037,Priya Kumar,Female,,Engineering,MASTERS,75020.0,5.0,Yes,2020-06-11,2022-07-27,25.5
E0038,Arjun Kumar,Male,,Engineering,MASTERS,,3.0,No,2019-01-03,,80.2
E0039,Suresh Reddy,Female,,Operations,MASTERS,89774.0,1.0,No,2022-05-15,,39.8
