employee_id,name,gender,age,department,education,monthly_salary,join_date,exit_date,satisfaction_score,attrited
E0001,Naveen Raj,female,,HR,Bachelors,,2018-07-17,,1,No
E0002,Karthik Iyer,Male,99,HR,MASTERS,-5000,08-31-2018,02-29-2020,1,Yes
E0003,Suresh Sharma,Female,33,HR,PhD,-5000,08-14-2019,08-04-2021,5,Yes
E0004,Meera Iyer,M,99,sales,bachelors,-5000,2024-04-30,,0,no
E0005,Kavya Raj,Male,99,SALES,Bachelors,,2020-09-26,,3,NO
E0006,Deepa Raj,M,15,Marketing,bachelors,112584,15/09/2019,,3,NO
E0007,Manoj Kumar,F,99,sales,PhD,33519,10/01/2021,,3,No
E0008,Manoj Sharma,female,99,SALES,Bachelors,62674,25/04/2019,13/11/2023,4,Yes
E0009,Anitha Nair,female,99,HR,Masters,-5000,29/02/2024,,3,No
E0010,  Karthik Raj,female,15,SALES,MASTERS,-5000,08-08-2020,,3,no
E0011,Naveen Raj,female,99,Operations,,-5000,10/08/2018,,4,no
E0012,Divya Raj,Male,28,sales,PhD,103738,05/05/2020,30/06/2022,5,Yes
E0013,Arjun Kumar,female,99,Engineering,bachelors,-5000,2022-03-22,,1,no
E0014,Latha Sharma,M,32,sales,PhD,,2019-08-14,,2,No
E0015,Arjun Pillai,Female,15,Operations,MASTERS,,05-05-2021,,2,NO
E0016,Naveen Reddy,Male,99,Engineering,PhD,54719,2020-03-10,,3,no
E0017,Vijay Raj,female,45,operations,Masters,,11/11/2021,,2,no
E0018,Ramesh Nair,Female,27,operations,bachelors,-5000,08/01/2018,,4,No
E0019,Deepa Pillai,Male,,Marketing,Masters,-5000,12-22-2018,,2,NO
E0020,  Manoj Pillai,F,,SALES,,-5000,04-27-2023,,1,No
E0021,Suresh Nair,Female,15,Engineering,Bachelors,-5000,2020-05-14,,3,NO
E0022,Sneha Nair,female,,operations,Masters,90752,18/10/2023,,5,NO
E0023,Arjun Pillai,M,15,SALES,bachelors,-5000,2019-12-07,,,No
E0024,Divya Raj,Male,57,Engineering,bachelors,,2021-02-08,,0,no
E0025,Ramesh Reddy,Female,15,engineering,bachelors,-5000,01-27-2023,,5,No
E0026,Deepa Kumar,Female,15,HR,,81143,16/12/2022,20/07/2024,0,Yes
E0027,Sneha Raj,M,,engineering,bachelors,,17/07/2019,24/04/2020,2,Yes
E0028,Naveen Nair,female,99,Engineering,PhD,,31/12/2021,18/04/2024,4,Yes
